Address,Quality,Size,Name
0x0000007100005334,U,000232,_ZNK21BirdGatheringSpotArea21calcRandomGroundTransEPN4sead7Vector3IfEE
0x000000710000541c,U,000048,_ZN21BirdGatheringSpotArea16AreaClippingInfoC2Ev
0x000000710000544c,U,000008,_ZNK2al7AreaObj7getNameEv
0x0000007100005454,U,000008,_ZNK2al7AreaObj20getStageSwitchKeeperEv
0x000000710000545c,U,000008,_ZNK2al7AreaObj17getSceneObjHolderEv
0x0000007100005464,U,000008,_ZThn8_NK2al7AreaObj17getSceneObjHolderEv
0x000000710000546c,U,000088,_ZN12ExtForceAreaC2EPKc
0x00000071000054c4,U,000100,_ZN12ExtForceAreaC1EPKc
0x0000007100005528,U,000156,_ZN12ExtForceArea4initERKN2al12AreaInitInfoE
0x00000071000055c4,U,000640,_ZNK12ExtForceArea12calcExtForceEPN4sead7Vector3IfEERKS2_S5_S5_
0x0000007100005844,U,000084,_ZN21ForceRecoveryKidsAreaC2EPKc
0x0000007100005898,U,000096,_ZN21ForceRecoveryKidsAreaC1EPKc
0x00000071000058f8,U,000140,_ZN21ForceRecoveryKidsArea4initERKN2al12AreaInitInfoE
0x0000007100005984,U,000064,_ZN19In2DAreaMoveControlC2Ev
0x00000071000059c4,U,000148,_ZN19In2DAreaMoveControl6updateERKN4sead13FixedPtrArrayIN2al7AreaObjELi8EEE
0x0000007100005a58,U,000228,_ZNK19In2DAreaMoveControl14calcGravityDirEPN4sead7Vector3IfEERKS2_S5_
0x0000007100005b3c,U,000276,_ZNK19In2DAreaMoveControl11calcLockDirEPN4sead7Vector3IfEEPfRKS2_
0x0000007100005c50,U,000228,_ZNK19In2DAreaMoveControl15calcLastLockDirEPN4sead7Vector3IfEERKS2_
0x0000007100005d34,U,000284,_ZNK19In2DAreaMoveControl17isNearSnapSurfaceERKN4sead7Vector3IfEEf
0x0000007100005e50,U,000124,_ZNK19In2DAreaMoveControl25isLastAreaPushOutOppositeEv
0x0000007100005ecc,U,000124,_ZNK19In2DAreaMoveControl23isLastAreaFaceToPushOutEv
0x0000007100005f48,U,000084,_ZN10MoveArea2DC2EPKc
0x0000007100005f9c,U,000096,_ZN10MoveArea2DC1EPKc
0x0000007100005ffc,U,000244,_ZN10MoveArea2D4initERKN2al12AreaInitInfoE
0x00000071000060f0,U,000088,_ZNK10MoveArea2D13calcSnapPowerEPN4sead7Vector3IfEEPfRKS2_f
0x0000007100006148,U,000296,_ZNK10MoveArea2D17calcSnapPowerCubeEPN4sead7Vector3IfEEPfRKS2_f
0x0000007100006270,U,000276,_ZNK10MoveArea2D21calcSnapPowerCylinderEPN4sead7Vector3IfEEPfRKS2_f
0x0000007100006384,U,000296,_ZNK10MoveArea2D17calcSnapPowerDiskEPN4sead7Vector3IfEEPfRKS2_f
0x00000071000064ac,U,000500,_ZNK10MoveArea2D14calcGravityDirEPN4sead7Vector3IfEEPfRKS2_
0x00000071000066a0,U,000056,_ZNK10MoveArea2D15calcGravityYDirEPN4sead7Vector3IfEEPf
0x00000071000066d8,U,000260,_ZNK10MoveArea2D29calcGravityCylinderCenterAxisEPN4sead7Vector3IfEEPfRKS2_b
0x00000071000067dc,U,000080,_ZN24NpcForceMaterialCodeAreaC2EPKc
0x000000710000682c,U,000092,_ZN24NpcForceMaterialCodeAreaC1EPKc
0x0000007100006888,U,000048,_ZN24NpcForceMaterialCodeArea4initERKN2al12AreaInitInfoE
0x00000071000068b8,U,000104,_ZN14RouteGuideAreaC2EPKc
0x0000007100006920,U,000116,_ZN14RouteGuideAreaC1EPKc
0x0000007100006994,U,000108,_ZN14RouteGuideArea4initERKN2al12AreaInitInfoE
0x0000007100006a00,U,000020,_ZNK14RouteGuideArea12calcGuidePosEPN4sead7Vector3IfEE
0x0000007100006a14,O,000080,_ZN9StainAreaC2EPKc
0x0000007100006a64,O,000092,_ZN9StainAreaC1EPKc
0x0000007100006ac0,O,000076,_ZN9StainArea4initERKN2al12AreaInitInfoE
0x0000007100006b0c,U,000112,_ZN23SwitchKeepOn2DAreaGroup9tryCreateEPKcPN2al15AreaObjDirectorEPKNS2_12PlayerHolderE
0x0000007100006b7c,U,000208,_ZN23SwitchKeepOn2DAreaGroup20selectTargetPosArrayEPbPPN4sead7Vector3IfEEPiPKN2al7AreaObjEPKNS7_20SwitchAreaTargetInfoE
0x0000007100006c4c,U,000040,_ZNK23SwitchKeepOn2DAreaGroup19isExternalConditionEv
0x0000007100006c74,U,000056,_ZN23SwitchKeepOn2DAreaGroupC2EPN2al12AreaObjGroupEPKNS0_12PlayerHolderE
0x0000007100006cac,U,000112,_ZN36SwitchKeepOn2DExceptDokanInAreaGroup9tryCreateEPKcPN2al15AreaObjDirectorEPKNS2_12PlayerHolderE
0x0000007100006d1c,U,000208,_ZN36SwitchKeepOn2DExceptDokanInAreaGroup20selectTargetPosArrayEPbPPN4sead7Vector3IfEEPiPKN2al7AreaObjEPKNS7_20SwitchAreaTargetInfoE
0x0000007100006dec,U,000104,_ZNK36SwitchKeepOn2DExceptDokanInAreaGroup19isExternalConditionEv
0x0000007100006e54,U,000056,_ZN36SwitchKeepOn2DExceptDokanInAreaGroupC1EPN2al12AreaObjGroupEPKNS0_12PlayerHolderE
0x0000007100006e8c,U,000096,_ZN31SwitchKeepOnIgnoreOffAreaTarget9tryCreateEPKcPN2al15AreaObjDirectorE
0x0000007100006eec,U,000156,_ZN31SwitchKeepOnIgnoreOffAreaTarget20selectTargetPosArrayEPbPPN4sead7Vector3IfEEPiPKN2al7AreaObjEPKNS7_20SwitchAreaTargetInfoE
0x0000007100006f88,U,000048,_ZN31SwitchKeepOnIgnoreOffAreaTargetC1EPN2al12AreaObjGroupE
